"","vd_0f","vd_1f","vd_2f","exp_x1_K","exp_x1_T","exp_x1_S.R","exp_x1_G","exp_x2_K","exp_x2_T","exp_x2_S.R","exp_x2_G","neg.ev_1","neg.ev_2.R","neg.ev_3","neg.ev_4.R","neg.ev_5","neg.ev_6","neg.ev_7.R","neg.ev_8","neg.ev_9","neg.ev_10.R","neg.ev_11","neg.ev_12","gender","income","age","employ","r_amount","r_type"
"505",1,3,2,6,6,6,6,8,8,8,8,4,2,4,4,4,4,3,4,4,4,4,4,2,1,42,2,2,2
"511",1,2,3,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,2,1,1,1,1,2,4,32,1,2,2
"516",1,2,3,5,5,5,5,5,5,5,5,5,1,5,4,5,4,3,5,4,2,4,4,1,2,50,1,2,2
"529",1,3,2,6,4,5,6,6,5,5,5,4,2,5,3,5,5,1,5,5,1,5,5,2,1,45,1,2,2
"534",1,3,2,8,5,8,8,5,7,5,7,3,4,1,2,4,1,1,3,4,2,4,3,2,1,62,6,2,2
"2",1,3,2,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,1,4,67,1,1,2
"10",2,3,1,9,9,9,9,9,9,9,9,5,1,5,1,5,5,1,5,5,1,5,5,2,1,36,6,1,2
"12",1,3,2,7,7,7,7,7,7,7,7,5,4,5,4,5,5,5,5,5,4,5,5,1,1,58,1,1,2
"17",1,3,2,7,7,7,7,6,6,7,6,3,2,4,2,4,4,4,3,3,3,3,3,1,3,64,1,1,2
"21",1,3,2,7,7,7,6,6,6,6,6,5,2,5,2,4,4,4,5,4,4,5,3,2,4,35,1,1,2
"29",2,1,3,9,9,9,9,9,9,9,9,5,1,5,5,5,5,1,5,5,1,5,5,1,3,60,6,1,2
"33",1,2,3,7,7,6,7,7,7,7,7,5,2,5,2,5,5,2,5,5,1,5,4,2,2,58,5,1,2
"38",1,3,2,9,9,9,9,9,9,9,9,3,2,3,2,3,3,2,4,3,2,4,4,2,5,38,2,1,2
"45",1,3,2,5,5,5,5,5,5,5,4,3,3,4,3,5,5,3,4,4,3,4,3,1,4,54,1,1,2
"50",1,3,2,9,9,9,9,9,9,9,9,4,3,3,3,5,5,2,3,4,3,2,3,2,3,69,5,1,2
"52",1,3,2,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,1,3,42,1,1,2
"62",1,3,2,1,1,1,1,8,6,7,5,4,1,5,2,5,5,3,5,5,3,5,5,1,1,38,1,1,2
"66",1,2,3,7,7,8,7,7,6,7,5,5,4,5,4,4,4,4,5,4,3,5,5,1,1,52,3,1,2
"76",3,1,2,6,6,4,6,7,7,7,7,5,1,5,1,5,5,1,5,5,1,5,5,1,1,70,5,1,2
"83",1,2,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,1,5,68,5,1,2
"84",1,3,2,7,8,7,6,7,8,7,6,1,2,2,2,3,2,1,3,2,1,1,1,2,1,21,3,1,2
"87",1,3,2,7,7,7,7,7,7,7,7,5,4,5,1,5,5,5,5,5,5,5,5,1,3,68,5,1,2
"97",1,3,2,9,9,9,9,9,9,9,9,4,1,4,1,4,5,2,4,4,1,4,5,2,1,63,2,1,2
"105",3,2,1,9,7,5,8,8,8,3,7,1,2,5,1,4,4,1,4,3,1,4,4,2,1,21,1,1,2
"109",3,2,1,9,9,9,9,9,9,6,9,5,1,5,1,5,5,1,5,4,1,5,5,2,3,27,1,1,2
"114",1,3,2,7,7,6,6,6,6,6,5,4,3,4,2,4,4,2,4,4,2,4,4,1,4,39,1,1,2
"120",3,2,1,8,8,8,8,7,7,6,7,2,3,3,2,4,4,2,4,4,2,3,3,2,2,54,1,1,2
"125",1,2,3,8,8,8,8,7,7,7,7,4,4,3,3,5,5,3,4,5,3,5,5,2,3,65,5,1,2
"126",1,3,2,9,9,9,9,9,9,9,9,4,2,5,2,4,4,2,4,4,2,5,3,2,1,74,5,1,2
"129",1,2,3,4,3,7,4,5,5,7,6,4,2,3,3,3,3,2,4,4,2,3,3,1,4,31,1,1,2
"136",1,3,2,7,5,7,7,6,6,7,6,3,2,3,2,4,3,2,3,3,2,3,3,2,4,29,3,1,2
"141",1,3,2,9,9,9,9,9,9,9,9,4,1,1,1,4,4,1,1,1,1,2,2,2,1,67,5,1,2
"144",1,3,2,6,7,7,7,5,6,6,4,4,2,5,1,4,4,2,4,4,1,5,4,2,3,40,2,1,2
"146",1,3,2,7,7,6,5,6,6,5,5,2,1,2,3,2,3,2,3,2,1,1,2,2,3,46,1,1,2
"153",1,3,2,8,8,8,8,6,5,8,5,3,2,3,4,3,4,2,3,4,3,2,2,2,1,26,2,1,2
"156",1,3,2,5,5,5,5,5,5,5,5,4,3,4,1,4,4,2,4,4,2,4,4,2,2,64,2,1,2
"160",1,2,3,9,9,9,9,8,8,7,8,3,2,3,3,2,3,3,3,2,3,3,3,1,2,60,5,1,2
"168",1,3,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,2,2,29,1,1,2
"170",2,3,1,6,7,7,7,3,6,7,6,3,1,3,2,3,4,1,3,4,1,1,1,2,1,45,3,1,2
"174",3,1,2,9,9,9,9,9,9,9,9,5,1,5,5,5,5,5,5,4,5,4,4,2,3,41,1,1,2
"177",1,3,2,5,5,7,6,5,5,7,5,3,2,3,3,3,4,2,3,4,2,3,4,2,4,48,1,1,2
"181",1,3,2,9,9,9,9,9,9,9,9,3,2,4,3,4,4,2,4,4,1,2,3,2,1,64,5,1,2
"186",1,3,2,7,7,7,7,8,7,7,7,1,2,2,5,2,1,3,1,2,1,1,1,2,4,43,6,1,2
"187",2,3,1,8,8,8,8,8,8,9,8,5,1,5,1,5,5,1,5,5,1,5,5,1,1,46,1,1,2
"196",1,3,2,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,1,76,6,1,2
"197",1,3,2,7,7,8,9,8,8,7,8,4,1,4,2,4,3,2,5,5,1,5,4,2,2,47,2,1,2
"204",3,2,1,9,9,9,9,9,9,9,9,5,1,5,1,5,5,1,4,5,2,2,2,2,4,48,1,1,2
"209",1,3,2,9,9,8,6,6,7,7,7,1,1,2,1,2,2,1,2,2,1,2,2,2,2,53,6,1,2
"212",1,3,2,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,46,1,1,2
"214",1,3,2,9,9,9,9,9,9,9,9,5,4,5,4,5,5,4,5,5,3,5,5,1,4,42,1,1,2
"222",2,3,1,6,6,7,6,7,7,8,6,4,1,5,2,5,5,1,5,5,2,5,5,1,4,49,1,1,2
"225",1,3,2,6,7,7,5,6,8,7,6,3,1,4,1,4,4,1,5,4,2,5,5,1,4,62,1,1,2
"231",1,3,2,7,7,7,8,9,9,9,9,1,1,2,4,3,2,1,3,1,2,1,1,2,1,59,6,1,2
"233",3,2,1,5,5,5,5,7,8,7,6,3,3,3,2,3,2,1,2,3,2,2,2,1,1,37,1,1,2
"243",3,2,1,7,7,6,8,7,9,9,7,3,1,5,2,5,5,2,5,5,1,5,5,2,5,64,1,1,2
"248",1,3,2,6,4,4,6,6,6,6,6,5,3,5,5,5,5,3,4,5,5,5,5,1,1,68,5,1,2
"251",1,3,2,8,7,8,7,7,7,6,6,3,2,2,1,4,4,1,4,4,1,4,3,1,4,39,1,1,2
"258",1,3,2,4,4,6,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,1,4,71,1,1,2
"263",1,3,2,6,6,5,5,5,5,5,5,5,1,5,1,5,5,4,5,5,4,5,5,2,5,28,1,1,2
"271",1,3,2,6,6,4,6,6,6,8,6,3,4,3,3,2,2,3,4,2,3,3,3,1,4,46,1,1,2
"282",1,2,3,9,9,9,9,9,9,9,9,5,4,5,4,5,5,4,5,5,4,5,3,2,1,70,5,1,2
"283",1,3,2,9,9,9,9,9,9,9,9,3,3,2,1,3,3,2,4,3,2,2,1,2,1,48,6,1,2
"289",1,3,2,6,5,7,6,3,3,4,3,5,2,5,2,5,5,1,4,4,2,5,4,1,3,77,5,1,2
"293",3,1,2,9,9,9,9,9,9,9,9,5,1,5,2,5,5,5,5,4,2,5,4,1,1,51,1,1,2
"299",1,2,3,9,9,9,9,9,9,8,9,2,1,4,1,2,2,1,4,2,1,2,2,2,1,67,5,1,2
"307",1,3,2,5,5,5,5,5,5,5,5,5,1,5,5,5,5,3,3,3,3,3,3,2,3,62,5,1,2
"315",1,2,3,8,8,8,8,7,7,8,7,3,2,3,2,3,3,2,3,3,2,3,3,2,5,40,2,1,2
"320",1,3,2,7,6,6,7,7,5,6,5,3,2,4,2,4,3,3,4,4,2,1,2,2,1,67,5,1,2
"328",1,3,2,7,8,7,6,7,8,8,8,5,3,4,2,4,4,3,4,4,2,4,4,2,4,37,1,1,2
"329",1,3,2,9,9,9,9,9,9,9,9,4,3,4,1,4,5,2,5,5,3,3,4,1,2,53,1,1,2
"338",1,3,2,8,9,9,9,8,9,8,7,5,2,5,3,5,5,3,5,4,2,5,5,2,5,68,5,1,2
"345",1,2,3,6,6,4,6,5,5,5,5,4,2,4,2,3,3,3,3,4,2,4,4,1,5,54,1,1,2
"351",1,3,2,8,9,8,7,8,8,8,7,4,2,4,3,3,3,2,5,3,2,5,5,1,1,62,6,1,2
"353",1,2,3,9,9,9,9,4,4,1,4,5,2,4,3,5,4,2,4,4,2,2,4,2,3,33,1,1,2
"360",1,3,2,5,5,5,5,5,5,5,5,5,2,3,2,2,2,1,2,2,1,2,2,1,3,65,5,1,2
"366",1,3,2,9,9,9,9,9,9,9,9,2,1,2,1,2,2,1,3,2,1,2,2,2,2,49,1,1,2
"371",1,3,2,5,5,5,5,5,5,5,5,3,1,5,2,5,4,1,4,4,1,4,5,1,4,50,1,1,2
"373",1,2,3,9,9,9,9,9,9,9,9,3,1,4,1,4,4,5,3,3,3,3,1,2,4,59,1,1,2
"378",1,3,2,9,9,9,9,9,9,9,9,1,1,2,1,2,3,1,3,2,1,1,3,2,1,60,5,1,2
"380",1,3,2,6,6,4,6,2,4,5,2,5,1,5,1,4,4,2,4,4,2,4,4,2,5,34,3,1,2
"383",1,3,2,7,7,6,6,7,7,5,5,4,3,5,2,5,5,3,4,4,2,4,5,1,4,51,1,1,2
"390",1,3,2,8,8,8,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,1,4,63,1,1,2
"393",2,1,3,9,9,9,9,9,9,9,9,5,1,5,1,5,5,1,5,5,1,5,5,2,2,62,2,1,2
"403",1,3,2,9,7,7,7,7,6,7,6,5,4,5,4,5,4,3,5,5,4,5,4,2,1,63,5,1,2
"405",1,2,3,8,8,9,9,8,8,7,8,3,3,2,4,3,3,4,3,3,4,2,2,1,1,43,3,1,2
"411",1,3,2,6,5,6,6,4,1,5,7,3,1,4,2,5,4,1,5,4,2,5,5,2,1,54,6,1,2
"414",1,3,2,8,8,8,8,7,7,8,7,5,5,5,1,5,5,1,5,5,5,5,5,1,4,64,5,1,2
"422",1,2,3,7,1,9,6,6,7,8,2,5,3,4,2,5,5,2,4,3,3,5,4,1,3,72,5,1,2
"428",1,3,2,5,5,5,5,5,5,5,5,4,3,3,3,4,5,4,4,3,3,2,4,1,5,67,5,1,2
"439",1,3,2,6,6,8,6,7,7,6,6,4,3,5,2,5,5,5,5,5,4,2,3,2,5,63,5,1,2
"441",1,3,2,5,5,5,5,5,5,5,5,2,3,3,4,3,2,4,1,2,3,3,3,1,5,68,2,1,2
"447",2,3,1,9,9,9,9,9,9,9,9,2,1,4,4,3,4,1,3,3,3,2,2,1,1,60,3,1,2
"451",1,3,2,9,9,9,9,9,9,9,9,5,4,5,4,5,5,4,5,5,4,5,5,2,1,42,6,1,2
"457",1,3,2,5,5,5,5,5,5,5,5,4,2,4,2,4,4,2,4,4,2,4,4,2,2,33,1,1,2
"462",2,3,1,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,2,4,48,2,1,2
"469",1,2,3,9,9,9,9,9,9,9,9,3,1,2,1,2,2,1,2,2,1,2,2,2,2,44,1,1,2
"470",1,3,2,9,9,9,9,9,9,9,9,4,3,3,3,3,3,3,3,3,3,3,3,2,3,27,1,1,2
"476",1,3,2,9,9,9,9,7,8,7,7,2,1,3,2,2,2,1,3,2,1,2,3,2,5,46,1,1,2
"479",1,3,2,9,9,9,8,9,9,9,8,5,2,5,2,5,5,4,5,5,4,5,5,2,1,62,1,1,2
"482",1,3,2,7,7,7,7,6,9,8,6,5,5,5,5,5,5,5,5,5,5,5,5,1,3,66,5,1,2
"497",1,3,2,5,5,2,5,5,5,1,5,3,1,3,1,4,4,1,4,3,1,4,3,2,1,38,2,1,2
"502",1,3,2,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,2,2,50,6,1,2
"508",1,3,2,5,5,5,6,5,5,5,6,5,3,5,3,5,5,4,4,5,3,5,4,2,3,57,1,1,2
"515",1,3,2,4,4,6,4,5,5,5,6,3,3,3,3,4,3,2,3,3,3,3,3,1,4,54,1,1,2
"519",1,3,2,7,7,7,7,7,7,6,7,3,2,3,2,4,4,3,4,3,2,3,4,1,3,60,2,1,2
"522",1,3,2,8,8,5,8,5,9,5,7,5,1,5,5,2,3,5,5,1,1,3,5,1,1,77,5,1,2
"525",1,3,2,6,6,6,6,5,6,6,5,3,1,5,3,4,4,3,4,3,4,3,4,1,2,69,5,1,2
"528",1,2,3,9,9,9,9,9,9,9,9,2,3,5,1,2,2,2,2,2,2,2,2,2,4,44,1,1,2
"535",1,3,2,5,5,5,5,5,5,1,1,3,4,4,3,3,3,4,4,4,3,5,4,1,3,71,5,1,2
