"","vd_0f","vd_1f","vd_2f","exp_x1_K","exp_x1_T","exp_x1_S.R","exp_x1_G","exp_x2_K","exp_x2_T","exp_x2_S.R","exp_x2_G","neg.ev_1","neg.ev_2.R","neg.ev_3","neg.ev_4.R","neg.ev_5","neg.ev_6","neg.ev_7.R","neg.ev_8","neg.ev_9","neg.ev_10.R","neg.ev_11","neg.ev_12","gender","income","age","employ","r_amount","r_type"
"179",1,3,2,8,8,8,8,6,6,6,5,4,4,4,5,4,4,4,4,3,2,4,4,1,3,53,6,1,1
"184",2,1,3,7,7,7,7,6,6,6,5,5,3,4,3,5,5,1,4,4,2,5,5,1,2,53,6,1,1
"195",1,2,3,6,6,6,5,5,6,5,4,5,4,4,4,4,5,5,4,4,4,5,5,1,4,70,5,1,1
"202",1,2,3,7,6,8,7,6,6,6,6,2,1,2,1,3,2,2,3,2,2,2,2,2,4,26,1,1,1
"207",1,2,3,7,7,8,7,7,7,7,7,4,2,2,3,3,3,2,2,2,3,2,4,1,5,64,5,1,1
"211",1,2,3,7,9,4,9,8,5,5,8,3,2,5,3,5,4,3,3,4,1,3,5,2,2,55,1,1,1
"218",1,3,2,9,9,9,9,8,9,9,6,4,3,3,2,3,4,1,4,3,2,2,5,1,3,55,1,1,1
"220",3,2,1,9,9,9,9,9,9,9,9,4,1,4,2,5,5,1,5,5,3,5,5,1,4,85,5,1,1
"226",1,2,3,8,8,8,8,7,7,7,7,4,3,5,3,4,5,4,4,5,3,4,4,1,5,50,6,1,1
"232",1,2,3,9,8,8,6,7,9,7,5,4,3,4,4,4,4,4,4,3,3,4,4,1,3,48,1,1,1
"244",1,2,3,5,5,5,5,3,3,7,3,3,3,4,2,4,4,2,3,3,3,4,3,2,3,60,5,1,1
"249",2,1,3,6,6,7,6,5,5,5,5,4,3,4,3,5,4,3,5,4,3,3,3,2,1,77,5,1,1
"256",1,2,3,5,5,5,5,3,5,3,5,3,1,4,1,4,4,1,4,4,1,3,4,2,4,65,5,1,1
"260",1,2,3,5,5,5,5,5,5,5,5,5,2,5,2,5,5,2,5,5,2,5,5,2,2,67,5,1,1
"262",1,2,3,9,9,9,9,9,7,7,7,5,2,5,2,5,5,3,4,5,1,5,5,1,1,72,1,1,1
"270",1,2,3,5,5,5,5,5,5,5,5,5,1,5,1,5,5,1,5,5,1,5,5,2,3,54,1,1,1
"274",3,1,2,9,9,9,9,9,9,9,9,2,1,2,1,3,4,2,3,2,1,3,4,1,1,53,1,1,1
"280",1,2,3,6,6,5,5,6,5,7,6,3,3,3,2,4,3,3,3,2,3,3,3,1,3,41,1,1,1
"284",3,2,1,7,7,7,7,8,8,8,8,5,1,5,5,5,5,5,5,5,5,5,5,1,5,68,5,1,1
"288",1,3,2,9,9,9,9,9,9,9,9,5,1,5,1,5,5,1,5,5,1,5,5,2,5,61,2,1,1
"294",1,2,3,6,5,3,4,3,3,3,3,3,3,4,2,4,4,3,4,4,2,3,4,1,4,61,1,1,1
"302",1,3,2,7,7,7,7,6,7,7,5,5,2,4,2,4,4,2,4,4,2,4,4,2,3,40,2,1,1
"305",1,2,3,4,6,5,7,4,4,4,4,3,2,2,3,4,2,4,3,4,3,2,3,2,3,43,1,1,1
"314",1,2,3,9,9,9,9,9,9,9,9,5,1,5,5,5,5,5,5,5,5,5,5,1,2,52,1,1,1
"324",1,2,3,6,7,7,7,6,5,6,6,4,2,4,2,4,4,1,4,3,3,4,4,2,1,61,5,1,1
"326",1,2,3,9,9,9,9,9,9,9,9,5,3,5,3,3,3,3,3,3,3,1,3,2,4,63,2,1,1
"331",1,2,3,6,6,4,6,4,4,6,4,3,2,2,5,1,3,4,2,2,3,2,1,1,3,32,1,1,1
"339",1,2,3,9,9,9,9,9,9,9,9,5,4,5,4,5,5,5,5,5,4,5,5,1,3,40,1,1,1
"340",1,2,3,8,7,8,5,6,6,7,5,4,4,4,4,4,4,4,4,4,4,4,3,1,4,53,1,1,1
"342",1,3,2,6,7,7,6,5,5,5,5,3,3,4,3,5,5,2,5,5,3,5,4,1,3,63,2,1,1
"348",3,2,1,9,9,9,9,9,9,9,9,4,2,5,2,5,5,2,5,5,1,4,5,2,4,35,1,1,1
"354",1,2,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,1,5,54,1,1,1
"358",3,2,1,9,9,9,9,9,9,9,9,2,1,1,1,1,1,1,1,1,1,2,1,2,1,62,5,1,1
"362",1,2,3,7,7,7,6,6,6,7,5,3,4,3,3,4,4,3,3,3,2,3,4,2,3,57,1,1,1
"364",1,2,3,7,7,7,7,7,7,7,7,3,1,3,1,3,3,1,3,3,1,2,4,2,1,67,5,1,1
"368",1,2,3,9,9,9,9,7,7,7,4,5,1,4,2,4,4,2,3,4,1,5,2,1,3,35,1,1,1
"377",1,2,3,7,7,7,7,6,6,5,5,4,2,4,2,4,4,2,4,4,1,5,4,2,3,38,2,1,1
"386",1,2,3,7,7,7,7,7,7,7,7,4,1,4,2,4,4,1,4,4,2,4,3,2,4,51,2,1,1
"392",1,3,2,7,7,8,8,8,7,8,7,3,2,4,3,4,4,3,3,4,2,4,4,2,1,50,2,1,1
"395",1,3,2,5,5,5,4,5,6,5,3,4,2,5,2,4,4,2,4,4,2,4,4,1,2,46,1,1,1
"398",1,2,3,6,9,7,5,5,6,6,4,3,1,3,1,3,3,1,4,3,1,4,3,2,5,19,4,1,1
"408",2,1,3,9,9,9,9,8,9,6,5,5,1,5,4,5,5,4,5,5,5,5,5,2,3,36,6,1,1
"412",1,2,3,8,8,7,8,8,7,7,8,2,1,2,1,3,3,1,4,3,1,1,3,2,3,66,2,1,1
"415",3,2,1,9,9,9,9,9,9,9,9,5,1,5,1,5,5,1,5,5,1,5,5,1,3,69,5,1,1
"420",1,2,3,9,9,9,9,9,9,9,9,3,3,5,2,5,4,3,5,4,2,4,5,2,1,61,5,1,1
"425",1,2,3,7,7,7,7,7,7,6,7,5,3,4,3,4,4,3,4,3,3,2,4,2,1,29,2,1,1
"431",1,2,3,7,7,6,7,7,7,6,7,3,3,3,3,3,3,3,3,3,3,3,3,1,3,59,2,1,1
"432",1,2,3,2,2,2,2,2,2,8,2,2,3,1,1,4,2,2,4,3,2,3,1,1,3,35,1,1,1
"445",3,1,2,9,9,7,9,8,8,8,8,1,1,3,1,1,1,1,2,2,2,1,2,2,1,27,2,1,1
"455",1,2,3,5,4,6,4,6,4,6,4,4,2,2,4,3,3,2,4,3,2,3,3,2,5,36,1,1,1
"461",1,2,3,7,7,8,7,6,6,6,5,2,1,3,2,3,3,2,2,2,2,2,2,2,1,38,3,1,1
"464",2,1,3,7,7,7,7,7,6,7,7,4,2,5,3,5,5,4,4,5,4,4,4,2,1,54,6,1,1
"473",1,2,3,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,2,5,5,4,3,1,3,75,5,1,1
"481",1,3,2,8,8,9,8,6,9,9,6,3,3,3,3,3,3,3,3,3,3,3,3,2,1,64,5,1,1
"483",1,2,3,6,6,4,5,5,6,4,5,3,2,3,4,3,4,3,3,3,2,4,3,1,3,74,5,1,1
"489",1,2,3,5,5,5,7,7,7,5,6,5,5,5,1,5,5,4,4,5,5,5,5,2,2,48,2,1,1
"498",1,2,3,9,9,8,9,9,9,8,9,3,3,4,3,3,3,2,5,4,2,5,4,1,3,35,1,1,1
"503",1,2,3,8,8,7,9,7,8,7,8,1,1,1,1,2,2,1,3,3,1,2,2,2,5,70,5,1,1
"504",1,2,3,9,9,9,9,9,9,9,9,4,2,5,2,5,5,4,5,4,2,5,5,2,1,67,5,1,1
"513",1,2,3,5,5,5,5,4,5,4,4,5,1,5,1,5,5,3,5,3,1,5,5,1,3,42,1,1,1
"517",1,2,3,8,8,8,9,8,8,9,7,5,3,5,3,5,5,1,4,4,3,5,4,2,4,54,1,1,1
"521",1,2,3,7,7,7,7,8,8,5,5,4,2,5,3,5,5,2,5,3,3,4,5,2,2,54,2,1,1
"526",3,1,2,9,9,9,9,7,9,9,7,5,1,5,2,5,5,1,5,5,1,2,5,1,3,61,5,1,1
"530",1,2,3,5,5,5,5,5,5,5,5,5,4,2,2,4,4,4,4,4,2,4,5,1,3,47,1,1,1
"6",1,2,3,9,9,9,9,9,9,9,9,3,3,4,2,4,4,2,4,4,2,4,4,2,5,29,1,2,2
"9",1,3,2,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,2,4,4,2,5,56,6,2,2
"14",1,3,2,9,9,9,9,9,9,9,9,5,3,5,4,5,5,5,5,5,3,5,5,2,2,71,2,2,2
"20",1,3,2,6,5,9,9,6,6,6,4,2,1,4,1,3,3,1,4,4,1,3,5,2,3,63,5,2,2
"22",1,3,2,9,9,9,9,9,9,9,7,2,3,5,3,4,5,3,5,3,2,5,3,2,1,52,3,2,2
"27",1,2,3,8,8,7,8,8,9,8,7,4,2,5,2,5,5,2,5,5,4,5,5,1,3,59,5,2,2
"35",1,2,3,9,9,9,9,9,9,9,9,4,2,4,2,4,4,2,5,4,2,4,4,2,2,62,5,2,2
"36",1,2,3,9,9,9,9,3,3,1,2,5,1,5,1,5,5,1,5,5,1,5,5,1,1,51,6,2,2
"44",2,3,1,7,7,7,7,6,6,6,5,5,3,4,2,5,5,4,2,4,3,4,2,1,1,53,2,2,2
"46",1,3,2,7,7,7,8,7,7,6,6,3,3,3,3,3,3,3,3,3,3,3,3,1,5,38,1,2,2
"49",1,3,2,9,9,9,9,9,9,9,8,3,3,3,3,3,3,3,3,3,3,3,3,1,3,74,5,2,2
"58",1,2,3,9,9,9,8,7,7,8,7,3,2,2,2,3,3,2,4,3,1,3,4,2,3,57,1,2,2
"59",1,2,3,7,7,8,7,7,7,7,7,4,3,5,2,5,5,3,5,4,3,5,5,2,5,62,5,2,2
"63",1,3,2,7,7,8,7,9,8,8,8,5,1,4,1,3,5,1,4,5,1,5,5,2,1,57,6,2,2
"69",1,3,2,8,8,8,8,8,8,8,8,5,2,5,1,5,5,4,5,5,4,5,5,1,4,62,1,2,2
