"","gender","age","income","employment","B2vsC3","C3vsE5","A1vsE5","A1vsC3","A1vsD4","C3vs6F","A1vsB2","E5vs6F","A1vs6F","C3vsD4","D4vs6F","B2vs6F","D4vsE5","B2vsE5","B2vsD4","condition"
"72",1,56,1,4,3,3,5,3,4,3,2,5,6,3,4,5,4,5,4,1
"73",2,62,5,2,2,3,1,1,4,3,2,6,1,3,4,5,5,5,4,1
"74",2,53,1,4,2,5,5,3,4,6,2,6,6,4,6,5,4,5,4,1
"75",2,31,1,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,1
"76",2,44,1,4,3,3,1,1,1,3,1,5,1,3,4,2,4,2,2,1
"77",1,34,2,2,3,3,1,3,4,3,2,5,1,3,4,2,4,2,2,2
"78",2,27,1,3,3,5,5,3,1,3,1,5,1,3,6,5,5,5,4,2
"79",2,38,1,3,3,3,1,1,1,3,1,5,1,3,4,2,5,5,2,2
"80",1,39,1,4,3,3,5,3,4,6,2,6,6,4,4,5,4,2,4,2
"81",2,25,4,4,3,3,5,3,4,3,2,5,1,4,4,5,4,5,4,2
"82",2,27,1,3,3,5,5,3,4,3,2,5,1,3,4,2,5,5,4,2
"83",1,48,1,3,3,3,5,3,4,3,2,6,6,4,4,5,4,5,4,2
"84",2,47,4,1,2,3,5,1,4,3,1,5,6,3,4,2,4,5,2,2
"85",1,62,5,1,3,3,5,3,4,3,2,5,1,3,4,2,4,2,2,2
"86",1,66,5,3,2,5,1,1,4,6,2,6,6,4,6,5,4,2,2,2
"87",2,57,5,5,3,3,1,3,4,6,2,6,6,4,4,2,4,2,4,2
"88",1,50,1,2,3,3,5,3,4,6,2,5,6,4,6,5,5,5,4,2
"89",2,43,1,5,2,5,5,3,4,6,2,6,6,4,4,5,4,2,4,2
"90",1,48,1,4,3,3,5,3,4,3,1,5,6,3,4,5,4,5,4,2
"91",1,68,5,1,3,3,5,3,4,6,1,5,1,3,4,2,5,5,4,2
"92",1,38,1,3,3,5,5,1,1,3,1,5,1,3,4,2,4,5,2,2
"93",2,78,5,2,3,5,1,1,1,3,1,5,1,3,4,2,5,5,4,2
"94",2,58,1,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,2
"95",1,51,6,5,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,2
"96",1,51,1,3,2,3,5,3,4,3,2,5,1,4,4,5,4,5,4,2
"97",1,73,5,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,2
"98",2,48,2,4,3,3,5,3,4,3,1,5,6,4,4,5,4,5,4,2
"99",1,33,1,5,3,5,5,3,4,3,1,5,1,3,6,5,5,5,4,2
"100",1,59,1,4,3,3,1,1,1,3,1,5,1,3,4,2,4,5,2,2
"101",1,42,6,1,3,3,5,3,1,3,1,5,1,3,4,2,4,2,4,2
"102",1,62,1,4,3,3,1,1,1,3,1,5,1,3,4,2,5,5,2,2
"103",2,35,2,1,3,3,5,3,4,3,2,5,6,3,6,2,5,2,2,2
"104",2,39,6,5,2,3,1,3,4,3,2,5,6,4,4,2,4,2,2,2
"105",1,54,1,4,3,3,5,3,4,3,2,5,1,4,4,2,4,2,4,2
"106",1,59,5,1,3,3,5,3,4,3,1,5,6,3,4,2,4,2,4,2
"107",2,27,1,3,3,3,5,1,4,6,1,5,1,4,4,2,4,5,2,2
"108",2,34,6,5,3,5,5,3,4,6,2,5,6,3,6,5,5,5,4,2
"109",2,52,2,1,3,5,5,3,1,3,1,5,1,3,4,5,5,5,4,2
"110",1,52,6,2,3,3,1,3,4,3,1,5,1,3,4,2,4,2,4,2
"111",1,76,5,2,3,3,1,3,1,3,1,5,1,3,4,2,4,5,2,2
